Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Jesiah Pierre,TTU,LB,28,25,53,0.5,0,0,0,0,0,0
Wesley Walker,TENN,DB,33,20,53,1.0,60,2,0,0,0,1
Devin Nicholson,KENT,LB,33,20,53,0.0,0,1,0,0,0,0
Irshaad Davis,TROY,S,31,22,53,0.0,0,3,2,2,0,0
Jordan Bertagnole,WYO,DT,23,30,53,1.0,4,2,0,0,0,1
Marco Notarainni,BOIS,LB,29,24,53,3.0,0,1,0,0,0,1
Seyi Oladipo,BOIS,S,38,15,53,0.5,0,4,1,0,0,1
Evan Anderson,FAU,DL,21,32,53,3.5,0,0,0,0,0,0
Cole Bishop,UTAH,S,31,22,53,2.0,0,3,2,9,0,1
Alec Marenco,UNM,LB,26,27,53,0.5,27,3,0,0,0,0
Anthony Hill Jr.,TEX,LB,33,20,53,3.0,24,2,0,0,0,0
Chigozie Anusiem,CSU,DB,30,22,52,0.0,22,2,1,3,0,0
Paul Moala,GT,LB,28,24,52,2.0,3,2,0,0,0,3
Brennan Jackson,WSU,DE,22,30,52,7.0,0,3,0,0,0,1
Bryson Shaw,USC,S,38,14,52,0.0,24,0,0,0,0,0
Brian Ugwu,M-OH,DL,28,24,52,6.5,0,0,0,0,0,1
Stephen Dix Jr.,MRSH,LB,23,29,52,1.0,0,0,0,0,0,0
Billy Bowman Jr.,OU,DB,31,21,52,0.0,0,4,5,100,2,0
Tyreem Powell,RUTG,LB,25,27,52,2.0,0,2,0,0,0,1
Smael Mondon Jr.,UGA,LB,34,18,52,3.0,0,1,0,0,0,0
Deontae Lawson,ALA,LB,22,30,52,2.0,0,2,0,0,0,0
Kaimon Rucker,UNC,LB,28,24,52,8.5,18,1,0,0,0,1
Justin Eboigbe,ALA,DL,20,32,52,5.0,2,1,0,0,0,0
Chris Hardie,JVST,DL,29,23,52,6.5,16,1,1,58,0,0
Alex Odom,TEM,S,26,26,52,0.0,0,1,0,0,0,0
Terrion Arnold,ALA,DB,31,21,52,1.0,0,10,3,37,0,1
Gabriel Taylor,RICE,S,36,16,52,1.0,0,6,2,72,0,1
Jaden Dolphin,NIU,LB,34,18,52,0.0,0,3,0,0,0,0
Jack Henderson,MINN,DB,38,14,52,1.0,40,1,2,17,0,0
